episode,Reward,step_count,goal_log
517,-27.14929116646994,0,130
518,504.6780843510111,0,131
519,-13.110217791941764,0,131
520,-47.21917972632338,0,131
521,-52.39045814140829,0,131
522,-42.83274051320827,0,131
523,-44.178632187199725,0,131
524,505.8873313858849,0,132
525,502.6363979599027,0,133
526,510.9826016959991,0,134
527,-22.412206404500836,0,134
528,-63.01505235739656,0,134
529,509.88896294683855,0,135
530,509.4699334844083,0,136
531,-7.738157839285549,0,136
532,-20.362218709503416,0,136
533,488.12667029422016,0,137
534,13.269698759419736,0,137
535,-20.307745015084247,0,137
536,507.7431498537383,0,138
537,507.10625461411615,0,139
538,-13.780850378726031,0,139
539,-24.186071957236155,0,139
540,-17.925010071340704,0,139
541,503.45085718464503,0,140
542,-48.17766668383891,0,140
543,503.0787889848588,0,141
544,-18.11552419710017,0,141
545,-44.26852912623785,0,141
546,502.23474215609394,0,142
547,-31.799224334085658,0,142
548,486.63614628572515,0,143
549,511.69567438699505,0,144
550,-12.76746191253693,0,144
551,503.7027292003145,0,145
552,-2.0493231565451566,0,145
553,-75.01421371919142,0,145
554,501.337545342822,0,146
555,-9.56892604970631,0,146
556,503.5996848076998,0,147
557,-15.941334457537833,0,147
558,502.60552382931843,0,148
559,508.88406474244283,0,149
560,12.45853704696399,0,149
561,504.8692334955589,0,150
562,-35.57767973911283,0,150
563,503.7399802409916,0,151
564,0.9683107756617169,0,151
565,-80.68457550207059,0,151
566,507.1275151460039,0,152
567,509.8534994764797,0,153
568,23.01627319512448,0,153
569,-31.696825569303797,0,153
570,-6.635608236492288,0,153
571,0.15518534401111594,0,153
572,502.8134850122402,0,154
573,31.350673490582658,0,154
574,-76.68632835024796,0,154
575,511.10666401648416,0,155
576,491.898354216886,0,156
577,-96.55388288728767,0,156
578,-100.7293965004126,0,156
579,504.30153474564963,0,157
580,509.07496491889276,0,158
581,0.3669575368876288,0,158
582,504.8695630302932,0,159
583,541.2380243833395,0,160
584,-70.65132047169652,0,160
585,507.85065941886353,0,161
586,512.0264668114041,0,162
587,-12.116682355730632,0,162
588,-15.73420862217664,0,162
589,11.196599888369388,0,162
590,-72.50692485826339,0,162
591,-32.01563871554998,0,162
592,110.89932387337736,0,162
593,-34.89281275418556,0,162
594,509.89855221931884,0,163
595,-96.62533252431092,0,163
596,-54.514732478086486,0,163
597,431.89050905222456,0,164
598,-13.725343793625546,0,164
599,-35.68727317807366,0,164
600,493.39162693297305,0,165
601,-6.921149748987752,0,165
602,100.99240068994115,0,165
603,504.02328252781496,0,166
604,4.533559507137262,0,166
605,21.117879891125714,0,166
606,-13.93501513744482,0,166
607,38.57506179028317,0,166
608,544.9769085982067,0,167
609,513.126411702914,0,168
610,-132.5181290249809,0,168
611,495.48534968472086,0,169
612,20.17414023325846,0,169
613,3.622017543070676,0,169
614,-9.162016534189505,0,169
615,-9.583281744272039,0,169
616,-39.17372043370465,0,169
617,-369.3258860846978,0,169
618,-80.563618970548,0,169
619,-244.3155867510704,0,169
620,444.2899329626496,0,170
621,-12.344507659146132,0,170
622,-15.510618018122305,0,170
623,-18.286776664634367,0,170
624,-42.92625466006805,0,170
625,-198.88019421521545,0,170
626,-280.05465027179895,0,170
627,-88.05825518256925,0,170
628,23.039404523406905,0,170
629,-9.338788635792596,0,170
630,-124.76673951676526,0,170
631,-409.32069646134613,0,170
632,-25.814839631072587,0,170
633,-143.45719107450884,0,170
634,-39.39936316970839,0,170
635,-145.25334864832402,0,170
636,-142.41641262680918,0,170
637,-83.191032650505,0,170
638,-16.654027235481102,0,170
639,-2.8114402542854187,0,170
640,-24.395749261687833,0,170
641,-1.807948596517896,0,170
642,-59.41319712658865,0,170
643,84.90453650094241,0,170
644,-144.8610691195804,0,170
645,-33.833697063145586,0,170
646,-178.465710975799,0,170
647,-81.13363412267711,0,170
648,-55.153587560493094,0,170
649,-99.32002491823624,0,170
650,-151.67721175595256,0,170
651,-336.8944094991931,0,170
652,-31.872840716606184,0,170
653,-107.34795637738478,0,170
654,-151.77082947420385,0,170
655,-159.42735348434763,0,170
656,-32.14595376821505,0,170
657,-353.5295478397982,0,170
658,-188.17168716673302,0,170
659,-170.1499922082501,0,170
660,-92.90145269569399,0,170
661,-30.621613687816716,0,170
662,-48.39149701025114,0,170
663,-50.6952741240668,0,170
664,-48.338951944115706,0,170
665,-48.01369477762498,0,170
666,-102.31375010157831,0,170
667,-44.57781751336975,0,170
668,-172.47133000874248,0,170
669,-270.41543286823475,0,170
670,-32.15082923202084,0,170
671,-61.422892387364634,0,170
672,-151.06455814660546,0,170
673,-162.14612644447072,0,170
674,-48.97100175400633,0,170
675,-50.41798119739157,0,170
676,-140.71846305060012,0,170
677,-140.40732586378022,0,170
678,-31.900519486337835,0,170
679,-254.19286182311913,0,170
680,-137.1233502879777,0,170
681,223.40873619178265,0,170
682,-31.900432037462863,0,170
683,-136.96337344467588,0,170
684,-51.632029499027425,0,170
685,-92.91197175166377,0,170
686,-72.42796773605285,0,170
687,-32.15686160622865,0,170
688,-42.084124927881284,0,170
689,-49.694471302859625,0,170
690,-39.21100172282174,0,170
691,-75.98858888658881,0,170
692,-17.90066541821944,0,170
693,-23.965666098649113,0,170
694,-62.79361534340514,0,170
695,-74.78286355376576,0,170
696,-116.0790423910796,0,170
697,-71.63332855823603,0,170
698,-47.03826293445983,0,170
699,-47.40240278834436,0,170
700,-31.946373279807908,0,170
701,63.68208812271695,0,170
702,-113.3852295381334,0,170
703,-156.79579518890426,0,170
704,-147.8239798661689,0,170
705,-32.11683289537228,0,170
706,150.27712929329448,0,170
707,-98.64564502122482,0,170
708,-121.79837796329156,0,170
709,-52.46195424817974,0,170
710,-32.19032248462646,0,170
711,-50.26761007979112,0,170
712,-52.3460025648741,0,170
713,-79.4072181624003,0,170
714,-212.38950761503688,0,170
715,-82.12039173864719,0,170
716,-75.11832291741491,0,170
717,-180.08781510311576,0,170
718,-86.3359633098894,0,170
719,-31.954827068159787,0,170
720,-95.04800461086091,0,170
721,-31.89209011521238,0,170
722,-35.949767192255955,0,170
723,-32.13629027814399,0,170
724,-251.0093584214312,0,170
725,-61.964005059871894,0,170
726,-53.15580413736119,0,170
727,-118.64080104989276,0,170
728,-41.39607149107661,0,170
729,40.31281461464418,0,170
730,-270.1475111546523,0,170
731,1.284555019671675,0,170
732,12.678779676132507,0,170
733,-102.16042905204135,0,170
734,-52.51296194016267,0,170
735,-32.16590455886219,0,170
736,42.85451631790026,0,170
737,-484.24833533848147,0,170
738,-284.595703375894,0,170
739,-18.60208911038281,0,170
740,-27.18912453955344,0,170
741,-45.55877119062472,0,170
742,-45.761861801566376,0,170
